,Granularity,Date,Lower Threshold,Upper Threshold,Value,custom_lower,custom_upper,Dimension,Status
0,MOTRX_NP,2024-02-02 00:00:00,0.6015222265151411,0.6257219932998499,0.6105615263529284,0.571446115189384,0.6570080929648424,SPECIALTY,Pass
1,Others,2024-02-02 00:00:00,-2.0360047650456778e-09,1.9117731619215707e-09,0.0,-1.9342045267933937e-09,2.0073618200176494e-09,SPECIALTY,Pass
2,MOTRX_PED,2024-02-02 00:00:00,0.374937182452513,0.3979576725421948,0.3894384736470716,0.3561903233298873,0.41785555616930453,SPECIALTY,Pass
3,MOTRX_OTHERS,2024-02-02 00:00:00,0.9999999980339646,1.0000000019330124,1.0,0.9499999981322663,1.0500000020296631,SUB_SPECIALTY,Pass
4,MOTRX_MEDICAL BENEFIT,2024-01-19 00:00:00,0.11169444376547097,0.1490767558787538,0.16359135850937348,0.10610972157719742,0.15653059367269148,SP_SOURCE,Fail
5,MOTRX_PHARMACY,2024-02-02 00:00:00,0.8492181384230748,0.8844907639018218,0.8720462646329769,0.806757231501921,0.9287153020969129,SP_SOURCE,Pass
6,TRX_OTHERS,2024-02-02 00:00:00,0.9999999980690993,1.000000001885892,1.0,0.9499999981656443,1.0500000019801867,SUB_SPECIALTY,Pass
7,TRX_MEDICAL BENEFIT,2024-01-19 00:00:00,0.09099381864639444,0.12160453188052558,0.1329110103304382,0.08644412771407471,0.12768475847455188,SP_SOURCE,Fail
8,TRX_PHARMACY,2024-02-02 00:00:00,0.8764528849852846,0.9079887758910878,0.8967074534669791,0.8326302407360203,0.9533882146856423,SP_SOURCE,Pass
9,NBRX_NP,2024-02-02 00:00:00,0.5753508926558608,0.6298877131704613,0.6032335925826596,0.5465833480230677,0.6613820988289845,SPECIALTY,Pass
10,Others,2024-02-02 00:00:00,-2.026134663698429e-09,1.939941003956867e-09,0.0,-1.9248279305135075e-09,2.0369380541547103e-09,SPECIALTY,Pass
11,NBRX_PED,2024-02-02 00:00:00,0.36414526063325847,0.4208619872176156,0.3967664074173403,0.34593799760159555,0.44190508657849636,SPECIALTY,Pass
12,NBRX_OTHERS,2024-02-02 00:00:00,0.9999999981179194,1.0000000018354258,1.0,0.9499999982120234,1.0500000019271971,SUB_SPECIALTY,Pass
13,NBRX_MEDICAL BENEFIT,2023-07-07 00:00:00,0.06766242665006712,0.14844342761058696,0.16122560641984315,0.06427930531756376,0.15586559899111632,SP_SOURCE,Fail
14,NBRX_PHARMACY,2024-02-02 00:00:00,0.8515271009125075,0.9289526746179346,0.8888931458564806,0.8089507458668821,0.9754003083488314,SP_SOURCE,Pass
