ID,PRODUCT,PROD_LVL,SPECIALTY,SP_SOURCE,WEEK,INDICATION,MARKET_FLAG,METRIC,TOTAL_RX,MONTH,YEAR,pred,month,predicted,residuals,anomaly,upper_threshold,lower_threshold,residual_category
IkmqOzQz,Brand39,2,PED,PHARMACY,2023-10-02,Indication11,Not Available,MOTRX,3.047,10,2023,0,Oct,3.790806,3.790716206918065,False,216.58793470022945,-103.7363803526998,Not Anomalous
LZ7qg1Of,Brand17,2,OTHERS,PHARMACY,2023-10-02,Indication11,Not Available,NBRX,5.6673,10,2023,0,Oct,2.03217,2.0320029432745605,False,51.83342000231979,-18.61149783965362,Not Anomalous
NvPdvNde,Brand11,2,NP,PHARMACY,2023-10-02,Indication10,Not Available,NBRX,1.4183,10,2023,1,Oct,3.4376655,3.4376236404944125,True,50.19924621250455,3.5649909553408903,Low
YlJlobio,Brand15,2,NP,PHARMACY,2023-10-02,Indication8,Other Market,TRX,16.3646,10,2023,0,Oct,3.9030821,3.9025995826019355,False,5.326928863873403,0.7636866684846519,Not Anomalous
YYbmd9HP,Brand9,2,NP,PHARMACY,2023-10-02,Indication4,IV Market,MOTRX,2.7258,10,2023,0,Oct,18.831766,18.83168575174656,False,24.063739944829447,9.029515897237115,Not Anomalous
ygeeGWq4,Brand12,2,NP,PHARMACY,2023-10-02,Indication6,IV Market,NBRX,0.0,10,2023,0,Oct,1.1639277,1.163927674293518,False,59.02943919553216,-25.882237766858864,Not Anomalous
MfMqj7bn,Brand11,1,NP,PHARMACY,2023-10-02,Indication9,Not Available,TRX,1.4426,10,2023,0,Oct,9.872467,9.872424502471977,False,30.887527124657705,-11.14269815346292,Not Anomalous
4Jt3ooZC,Brand31,2,PED,PHARMACY,2023-10-02,Indication5,Not Available,NBRX,0.0,10,2023,0,Oct,52.88287,52.882869720458984,False,89.58288798209841,16.182851458819556,Not Anomalous
T81Mlh9s,Brand18,2,NP,PHARMACY,2023-10-02,Indication4,Not Available,MOTRX,0.5,10,2023,0,Oct,-8.863863,8.86387773504008,False,23.95210521215461,1.0706335517082182,Not Anomalous
fr8ixM3c,Brand17,2,NP,PHARMACY,2023-10-02,Indication11,Not Available,TRX,3.6853,10,2023,0,Oct,-17.050457,17.050565670699775,False,51.83342000231979,-18.61149783965362,Not Anomalous
Dle5i9Fr,Brand14,1,PED,PHARMACY,2023-10-02,Indication11,Not Available,MOTRX,17.8909,10,2023,0,Oct,78.91315,78.9126194162785,False,131.16046499938008,-23.447068729885956,Not Anomalous
fYKTk71S,Brand14,2,PED,PHARMACY,2023-10-02,Indication11,Not Available,MOTRX,0.3854,10,2023,0,Oct,74.99264,74.99262626982794,False,131.16046499938008,-23.447068729885956,Not Anomalous
KL4WTLaR,Brand5,2,NP,PHARMACY,2023-10-02,Indication8,Not Available,NBRX,0.0,10,2023,0,Oct,-0.7621294,0.7621294260025024,False,21.245122977264614,-8.004792889712297,Not Anomalous
yFyWX7Ul,Brand19,2,PED,PHARMACY,2023-10-02,Indication7,Not Available,NBRX,0.0,10,2023,0,Oct,1.2209655,1.2209655046463013,False,2.6061286836283335,-0.1641976743357313,Not Anomalous
sG9u4rNd,Brand15,2,NP,PHARMACY,2023-10-02,Indication9,Other Market,MOTRX,18.5732,10,2023,1,Oct,7.0028462,7.002298565356888,True,3.34952591095925,-1.2825227630613947,Low
wFI8fwXI,Brand7,2,PED,PHARMACY,2023-10-02,Indication7,Not Available,MOTRX,32.0751,10,2023,0,Oct,1353.5293,1353.5283510632426,False,1484.605313047449,1143.8478006637208,Not Anomalous
z4PDvIbT,Brand7,2,NP,PHARMACY,2023-10-02,Indication6,Not Available,MOTRX,52.8527,10,2023,0,Oct,538.7222,538.7206705144525,False,635.8453664229099,364.47708955313334,Not Anomalous
9BBia8bM,Brand23,2,OTHERS,PHARMACY,2023-10-02,Indication11,Not Available,NBRX,0.0,10,2023,0,Oct,11.16294,11.16294002532959,False,378.7970615599523,-174.69513995800122,Not Anomalous
BriIZSSX,Brand30,1,NP,PHARMACY,2023-10-02,Indication6,Other Market,MOTRX,246.2881343,10,2023,0,Oct,237.05017,237.04290849822203,False,343.69769611326853,31.167153338722365,Not Anomalous
xZjfX1sh,Brand14,2,NP,PHARMACY,2023-10-02,Indication10,Not Available,MOTRX,1.5091,10,2023,1,Oct,21.06127,21.061225260675148,True,19.46720583008962,-8.064152932432137,Low
ScbZKUbN,Brand8,1,NP,MEDICAL BENEFIT,2023-10-02,Indication11,Not Available,NBRX,230.0666,10,2023,0,Oct,65.680504,65.67371977609936,False,310.00238077510187,-143.0454858679891,Not Anomalous
nd2D1Coa,Brand6,1,PED,PHARMACY,2023-10-02,Indication11,Not Available,NBRX,17.3094,10,2023,1,Oct,22.603687,22.603176876930526,True,275.4341934946946,46.025933864332565,Low
3eHAW6Pj,Brand8,1,NP,PHARMACY,2023-10-02,Indication6,Not Available,NBRX,0.9207,10,2023,0,Oct,0.9027213,0.9026941367578026,False,78.59218288487236,-32.18134929435467,Not Anomalous
