,PRODUCT,PROD_LVL,SPECIALTY,SUB_SPECIALTY,SP_SOURCE,ds,INDICATION,MARKET_FLAG,LEVEL_0_MARKET_FLAG,BIOSIMILAR_MOLECULE,CLASS,METRIC,COMPETITIVE_RX,TOTAL_RX,ALLOCATED_WITHOUT_FDAP_RX,ALLOCATED_WITH_FDAP_RX
25,Brand5,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Other Market,Other Market,Not Available,Class3,NBRX,7.3011,,,
36,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class3,TRX,811.0088,,,960.4027316
40,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class3,MOTRX,23.5208,,,27.86223981
97,Brand7,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class1,NBRX,121.0889,,,
115,Brand11,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Other Market,Other Market,Not Available,Class1,NBRX,4.8951,,,
161,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class3,TRX,175.0962,,,207.3502393
218,Brand26,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class1,MOTRX,3.5743,,,
240,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class3,MOTRX,57.1448,,,67.69251563
263,Brand17,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication1,IV Market,Not Available,Not Available,Class1,TRX,98.7448,,,
264,Brand17,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication1,IV Market,Not Available,Not Available,Class1,NBRX,16.4575,,,
279,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class3,MOTRX,185.871,,211.522621,220.1847933
305,Brand14,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Oral Market,Oral Market,Not Available,Class2,TRX,4.9909,,,
376,Brand4,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class1,NBRX,11.9612,,,
405,Brand11,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,0.0,,,
426,Brand11,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,MOTRX,25.3946,,,
612,Brand30,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class4,TRX,2.6145,,,
631,Brand19,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Other Market,Not Available,Class1,NBRX,22.1333,,,
653,Brand19,2,NP,OTHERS,PHARMACY,2024-01-19,Indication3,Other Market,Other Market,Not Available,Class1,TRX,1.1465,,,
686,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Not Available,Not Available,Class1,TRX,1.6074,,,
687,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Other Market,Not Available,Not Available,Class1,NBRX,0.0,,,
